,Hunk_Type,Size
657,Fixed_Hunk,8
658,Buggy_Hunk,7
659,Fixed_Hunk,7
660,Buggy_Hunk,7
661,Fixed_Hunk,8
662,Buggy_Hunk,6
663,Fixed_Hunk,7
664,Buggy_Hunk,6
665,Fixed_Hunk,7
666,Buggy_Hunk,6
667,Fixed_Hunk,7
668,Buggy_Hunk,10
669,Fixed_Hunk,11
670,Buggy_Hunk,6
671,Fixed_Hunk,7
672,Buggy_Hunk,6
673,Fixed_Hunk,7
674,Buggy_Hunk,9
675,Fixed_Hunk,14
676,Buggy_Hunk,11
677,Fixed_Hunk,10
678,Buggy_Hunk,10
679,Fixed_Hunk,10
680,Buggy_Hunk,7
681,Fixed_Hunk,7
682,Buggy_Hunk,7
683,Fixed_Hunk,7
684,Buggy_Hunk,7
685,Fixed_Hunk,7
686,Buggy_Hunk,6
687,Fixed_Hunk,7
688,Buggy_Hunk,6
689,Fixed_Hunk,35
690,Buggy_Hunk,6
691,Fixed_Hunk,10
692,Buggy_Hunk,6
693,Fixed_Hunk,6
694,Buggy_Hunk,37
695,Fixed_Hunk,37
696,Buggy_Hunk,6
697,Fixed_Hunk,12
698,Buggy_Hunk,7
699,Fixed_Hunk,7
700,Buggy_Hunk,16
701,Fixed_Hunk,16
702,Buggy_Hunk,30
703,Fixed_Hunk,14
704,Buggy_Hunk,38
705,Fixed_Hunk,44
706,Buggy_Hunk,63
707,Fixed_Hunk,78
708,Buggy_Hunk,10
709,Fixed_Hunk,10
710,Buggy_Hunk,7
711,Fixed_Hunk,7
712,Buggy_Hunk,6
713,Fixed_Hunk,7
714,Buggy_Hunk,6
715,Fixed_Hunk,35
716,Buggy_Hunk,7
717,Fixed_Hunk,7
718,Buggy_Hunk,7
719,Fixed_Hunk,7
720,Buggy_Hunk,7
721,Fixed_Hunk,7
722,Buggy_Hunk,7
723,Fixed_Hunk,7
724,Buggy_Hunk,15
725,Fixed_Hunk,14
726,Buggy_Hunk,16
727,Fixed_Hunk,11
728,Buggy_Hunk,6
729,Fixed_Hunk,12
730,Buggy_Hunk,33
731,Fixed_Hunk,33
732,Buggy_Hunk,20
733,Fixed_Hunk,20
734,Buggy_Hunk,31
735,Fixed_Hunk,31
736,Buggy_Hunk,32
737,Fixed_Hunk,32
738,Buggy_Hunk,31
739,Fixed_Hunk,31
740,Buggy_Hunk,32
741,Fixed_Hunk,32
742,Buggy_Hunk,39
743,Fixed_Hunk,39
744,Buggy_Hunk,13
745,Fixed_Hunk,13
746,Buggy_Hunk,18
747,Fixed_Hunk,11
748,Buggy_Hunk,33
749,Fixed_Hunk,39
750,Buggy_Hunk,56
751,Fixed_Hunk,66
752,Buggy_Hunk,6
753,Fixed_Hunk,6
754,Buggy_Hunk,45
755,Fixed_Hunk,45
756,Buggy_Hunk,6
757,Fixed_Hunk,29
758,Buggy_Hunk,6
759,Fixed_Hunk,13
760,Buggy_Hunk,10
761,Fixed_Hunk,10
762,Buggy_Hunk,13
763,Fixed_Hunk,13
764,Buggy_Hunk,37
765,Fixed_Hunk,17
766,Buggy_Hunk,89
767,Fixed_Hunk,108
768,Buggy_Hunk,10
769,Fixed_Hunk,10
770,Buggy_Hunk,7
771,Fixed_Hunk,7
772,Buggy_Hunk,7
773,Fixed_Hunk,7
774,Buggy_Hunk,7
775,Fixed_Hunk,7
776,Buggy_Hunk,7
777,Fixed_Hunk,7
778,Buggy_Hunk,7
779,Fixed_Hunk,7
780,Buggy_Hunk,7
781,Fixed_Hunk,7
782,Buggy_Hunk,7
783,Fixed_Hunk,7
784,Buggy_Hunk,7
785,Fixed_Hunk,7
786,Buggy_Hunk,7
787,Fixed_Hunk,7
788,Buggy_Hunk,33
789,Fixed_Hunk,31
790,Buggy_Hunk,49
791,Fixed_Hunk,45
792,Buggy_Hunk,21
793,Fixed_Hunk,20
794,Buggy_Hunk,20
795,Fixed_Hunk,21
796,Buggy_Hunk,84
797,Fixed_Hunk,104
798,Buggy_Hunk,6
799,Fixed_Hunk,6
800,Buggy_Hunk,24
801,Fixed_Hunk,24
802,Buggy_Hunk,31
803,Fixed_Hunk,31
804,Buggy_Hunk,9
805,Fixed_Hunk,9
806,Buggy_Hunk,8
807,Fixed_Hunk,8
808,Buggy_Hunk,13
809,Fixed_Hunk,10
810,Buggy_Hunk,76
811,Fixed_Hunk,94
812,Buggy_Hunk,6
813,Fixed_Hunk,6
814,Buggy_Hunk,7
815,Fixed_Hunk,7
816,Buggy_Hunk,12
817,Fixed_Hunk,12
818,Buggy_Hunk,19
819,Fixed_Hunk,19
820,Buggy_Hunk,13
821,Fixed_Hunk,13
822,Buggy_Hunk,7
823,Fixed_Hunk,7
824,Buggy_Hunk,10
825,Fixed_Hunk,10
826,Buggy_Hunk,7
827,Fixed_Hunk,7
828,Buggy_Hunk,11
829,Fixed_Hunk,11
830,Buggy_Hunk,12
831,Fixed_Hunk,9
832,Buggy_Hunk,74
833,Fixed_Hunk,93
834,Buggy_Hunk,7
835,Fixed_Hunk,9
836,Buggy_Hunk,31
837,Fixed_Hunk,31
838,Buggy_Hunk,21
839,Fixed_Hunk,21
840,Buggy_Hunk,32
841,Fixed_Hunk,32
842,Buggy_Hunk,22
843,Fixed_Hunk,22
844,Buggy_Hunk,8
845,Fixed_Hunk,18
846,Buggy_Hunk,12
847,Fixed_Hunk,6
848,Buggy_Hunk,6
849,Fixed_Hunk,7
850,Buggy_Hunk,6
851,Fixed_Hunk,7
852,Buggy_Hunk,7
853,Fixed_Hunk,9
854,Buggy_Hunk,11
855,Fixed_Hunk,10
856,Buggy_Hunk,10
857,Fixed_Hunk,10
858,Buggy_Hunk,7
859,Fixed_Hunk,7
860,Buggy_Hunk,7
861,Fixed_Hunk,7
862,Buggy_Hunk,38
863,Fixed_Hunk,49
864,Buggy_Hunk,8
865,Fixed_Hunk,8
866,Buggy_Hunk,6
867,Fixed_Hunk,7
868,Buggy_Hunk,6
869,Fixed_Hunk,14
870,Buggy_Hunk,7
871,Fixed_Hunk,7
872,Buggy_Hunk,8
873,Fixed_Hunk,22
874,Buggy_Hunk,6
875,Fixed_Hunk,17
876,Buggy_Hunk,8
877,Fixed_Hunk,12
878,Buggy_Hunk,8
879,Fixed_Hunk,12
880,Buggy_Hunk,9
881,Fixed_Hunk,13
882,Buggy_Hunk,9
883,Fixed_Hunk,19
884,Buggy_Hunk,6
885,Fixed_Hunk,6
886,Buggy_Hunk,45
887,Fixed_Hunk,45
888,Buggy_Hunk,15
889,Fixed_Hunk,15
890,Buggy_Hunk,37
891,Fixed_Hunk,37
892,Buggy_Hunk,27
893,Fixed_Hunk,27
894,Buggy_Hunk,20
895,Fixed_Hunk,20
896,Buggy_Hunk,7
897,Fixed_Hunk,7
898,Buggy_Hunk,12
899,Fixed_Hunk,12
900,Buggy_Hunk,34
901,Fixed_Hunk,13
902,Buggy_Hunk,60
903,Fixed_Hunk,62
904,Buggy_Hunk,53
905,Fixed_Hunk,66
906,Buggy_Hunk,6
907,Fixed_Hunk,6
908,Buggy_Hunk,15
909,Fixed_Hunk,15
910,Buggy_Hunk,7
911,Fixed_Hunk,7
912,Buggy_Hunk,7
913,Fixed_Hunk,7
914,Buggy_Hunk,9
915,Fixed_Hunk,9
916,Buggy_Hunk,18
917,Fixed_Hunk,23
918,Buggy_Hunk,63
919,Fixed_Hunk,78
920,Buggy_Hunk,7
921,Fixed_Hunk,8
922,Buggy_Hunk,10
923,Fixed_Hunk,10
924,Buggy_Hunk,7
925,Fixed_Hunk,7
926,Buggy_Hunk,7
927,Fixed_Hunk,7
928,Buggy_Hunk,7
929,Fixed_Hunk,7
930,Buggy_Hunk,7
931,Fixed_Hunk,7
932,Buggy_Hunk,7
933,Fixed_Hunk,7
934,Buggy_Hunk,7
935,Fixed_Hunk,7
936,Buggy_Hunk,7
937,Fixed_Hunk,7
938,Buggy_Hunk,7
939,Fixed_Hunk,9
940,Buggy_Hunk,6
941,Fixed_Hunk,6
942,Buggy_Hunk,38
943,Fixed_Hunk,38
944,Buggy_Hunk,6
945,Fixed_Hunk,25
946,Buggy_Hunk,6
947,Fixed_Hunk,14
948,Buggy_Hunk,8
949,Fixed_Hunk,8
950,Buggy_Hunk,15
951,Fixed_Hunk,15
952,Buggy_Hunk,29
953,Fixed_Hunk,13
954,Buggy_Hunk,37
955,Fixed_Hunk,43
956,Buggy_Hunk,56
957,Fixed_Hunk,66
958,Buggy_Hunk,16
959,Fixed_Hunk,23
960,Buggy_Hunk,7
961,Fixed_Hunk,7
962,Buggy_Hunk,7
963,Fixed_Hunk,7
964,Buggy_Hunk,11
965,Fixed_Hunk,11
966,Buggy_Hunk,7
967,Fixed_Hunk,7
968,Buggy_Hunk,18
969,Fixed_Hunk,18
970,Buggy_Hunk,7
971,Fixed_Hunk,7
972,Buggy_Hunk,7
973,Fixed_Hunk,7
974,Buggy_Hunk,12
975,Fixed_Hunk,12
976,Buggy_Hunk,7
977,Fixed_Hunk,7
978,Buggy_Hunk,17
979,Fixed_Hunk,22
980,Buggy_Hunk,56
981,Fixed_Hunk,66
982,Buggy_Hunk,7
983,Fixed_Hunk,6
984,Buggy_Hunk,7
985,Fixed_Hunk,10
986,Buggy_Hunk,11
987,Fixed_Hunk,6
988,Buggy_Hunk,14
989,Fixed_Hunk,12
990,Buggy_Hunk,14
991,Fixed_Hunk,14
992,Buggy_Hunk,7
993,Fixed_Hunk,7
994,Buggy_Hunk,15
995,Fixed_Hunk,15
