,Hunk_Type,Size
557,Fixed_Hunk,55
558,Buggy_Hunk,7
559,Fixed_Hunk,7
560,Buggy_Hunk,5
561,Fixed_Hunk,25
562,Buggy_Hunk,6
563,Fixed_Hunk,7
564,Buggy_Hunk,10
565,Fixed_Hunk,14
566,Buggy_Hunk,7
567,Fixed_Hunk,6
568,Buggy_Hunk,4
569,Fixed_Hunk,16
570,Buggy_Hunk,18
571,Fixed_Hunk,20
572,Buggy_Hunk,8
573,Fixed_Hunk,8
574,Buggy_Hunk,7
575,Fixed_Hunk,8
576,Buggy_Hunk,9
577,Fixed_Hunk,9
578,Buggy_Hunk,9
579,Fixed_Hunk,9
580,Buggy_Hunk,6
581,Fixed_Hunk,9
582,Buggy_Hunk,7
583,Fixed_Hunk,7
584,Buggy_Hunk,8
585,Fixed_Hunk,7
586,Buggy_Hunk,6
587,Fixed_Hunk,31
588,Buggy_Hunk,17
589,Fixed_Hunk,6
590,Buggy_Hunk,7
591,Fixed_Hunk,6
592,Buggy_Hunk,7
593,Fixed_Hunk,7
594,Buggy_Hunk,7
595,Fixed_Hunk,7
596,Buggy_Hunk,7
597,Fixed_Hunk,6
598,Buggy_Hunk,7
599,Fixed_Hunk,6
600,Buggy_Hunk,7
601,Fixed_Hunk,7
602,Buggy_Hunk,7
603,Fixed_Hunk,7
604,Buggy_Hunk,9
605,Fixed_Hunk,8
606,Buggy_Hunk,7
607,Fixed_Hunk,7
608,Buggy_Hunk,6
609,Fixed_Hunk,8
610,Buggy_Hunk,4
611,Fixed_Hunk,39
612,Buggy_Hunk,8
613,Fixed_Hunk,7
614,Buggy_Hunk,11
615,Fixed_Hunk,6
616,Buggy_Hunk,11
617,Fixed_Hunk,12
618,Buggy_Hunk,7
619,Fixed_Hunk,12
620,Buggy_Hunk,7
621,Fixed_Hunk,6
622,Buggy_Hunk,7
623,Fixed_Hunk,7
624,Buggy_Hunk,8
625,Fixed_Hunk,8
626,Buggy_Hunk,8
627,Fixed_Hunk,8
628,Buggy_Hunk,7
629,Fixed_Hunk,6
630,Buggy_Hunk,8
631,Fixed_Hunk,8
632,Buggy_Hunk,13
633,Fixed_Hunk,13
634,Buggy_Hunk,7
635,Fixed_Hunk,7
636,Buggy_Hunk,9
637,Fixed_Hunk,10
638,Buggy_Hunk,6
639,Fixed_Hunk,9
640,Buggy_Hunk,7
641,Fixed_Hunk,8
642,Buggy_Hunk,20
643,Fixed_Hunk,20
644,Buggy_Hunk,11
645,Fixed_Hunk,14
646,Buggy_Hunk,8
647,Fixed_Hunk,9
648,Buggy_Hunk,15
649,Fixed_Hunk,16
650,Buggy_Hunk,6
651,Fixed_Hunk,9
652,Buggy_Hunk,6
653,Fixed_Hunk,12
654,Buggy_Hunk,6
655,Fixed_Hunk,20
656,Buggy_Hunk,4
657,Fixed_Hunk,10
658,Buggy_Hunk,4
659,Fixed_Hunk,35
660,Buggy_Hunk,5
661,Fixed_Hunk,18
662,Buggy_Hunk,5
663,Fixed_Hunk,13
664,Buggy_Hunk,29
665,Fixed_Hunk,48
666,Buggy_Hunk,35
667,Fixed_Hunk,45
668,Buggy_Hunk,14
669,Fixed_Hunk,37
670,Buggy_Hunk,7
671,Fixed_Hunk,6
672,Buggy_Hunk,7
673,Fixed_Hunk,9
674,Buggy_Hunk,7
675,Fixed_Hunk,18
676,Buggy_Hunk,6
677,Fixed_Hunk,8
678,Buggy_Hunk,6
679,Fixed_Hunk,11
680,Buggy_Hunk,7
681,Fixed_Hunk,7
682,Buggy_Hunk,22
683,Fixed_Hunk,22
684,Buggy_Hunk,24
685,Fixed_Hunk,22
686,Buggy_Hunk,13
687,Fixed_Hunk,13
688,Buggy_Hunk,13
689,Fixed_Hunk,13
690,Buggy_Hunk,7
691,Fixed_Hunk,7
692,Buggy_Hunk,7
693,Fixed_Hunk,7
694,Buggy_Hunk,7
695,Fixed_Hunk,7
696,Buggy_Hunk,13
697,Fixed_Hunk,13
698,Buggy_Hunk,7
699,Fixed_Hunk,7
700,Buggy_Hunk,7
701,Fixed_Hunk,7
702,Buggy_Hunk,14
703,Fixed_Hunk,14
704,Buggy_Hunk,8
705,Fixed_Hunk,7
706,Buggy_Hunk,8
707,Fixed_Hunk,7
708,Buggy_Hunk,14
709,Fixed_Hunk,15
710,Buggy_Hunk,24
711,Fixed_Hunk,33
712,Buggy_Hunk,8
713,Fixed_Hunk,7
714,Buggy_Hunk,14
715,Fixed_Hunk,16
716,Buggy_Hunk,6
717,Fixed_Hunk,24
718,Buggy_Hunk,4
719,Fixed_Hunk,109
720,Buggy_Hunk,6
721,Fixed_Hunk,11
722,Buggy_Hunk,9
723,Fixed_Hunk,9
724,Buggy_Hunk,11
725,Fixed_Hunk,16
726,Buggy_Hunk,7
727,Fixed_Hunk,7
728,Buggy_Hunk,11
729,Fixed_Hunk,6
730,Buggy_Hunk,10
731,Fixed_Hunk,10
732,Buggy_Hunk,7
733,Fixed_Hunk,7
734,Buggy_Hunk,7
735,Fixed_Hunk,7
736,Buggy_Hunk,16
737,Fixed_Hunk,16
738,Buggy_Hunk,6
739,Fixed_Hunk,8
740,Buggy_Hunk,6
741,Fixed_Hunk,11
742,Buggy_Hunk,4
743,Fixed_Hunk,24
744,Buggy_Hunk,7
745,Fixed_Hunk,6
746,Buggy_Hunk,7
747,Fixed_Hunk,6
748,Buggy_Hunk,7
749,Fixed_Hunk,6
750,Buggy_Hunk,22
751,Fixed_Hunk,32
752,Buggy_Hunk,7
753,Fixed_Hunk,7
754,Buggy_Hunk,8
755,Fixed_Hunk,7
756,Buggy_Hunk,7
757,Fixed_Hunk,7
758,Buggy_Hunk,7
759,Fixed_Hunk,6
760,Buggy_Hunk,6
761,Fixed_Hunk,5
762,Buggy_Hunk,14
763,Fixed_Hunk,12
764,Buggy_Hunk,12
765,Fixed_Hunk,13
766,Buggy_Hunk,15
767,Fixed_Hunk,15
768,Buggy_Hunk,9
769,Fixed_Hunk,9
770,Buggy_Hunk,11
771,Fixed_Hunk,9
772,Buggy_Hunk,11
773,Fixed_Hunk,6
774,Buggy_Hunk,6
775,Fixed_Hunk,7
776,Buggy_Hunk,7
777,Fixed_Hunk,8
778,Buggy_Hunk,7
779,Fixed_Hunk,8
780,Buggy_Hunk,7
781,Fixed_Hunk,8
782,Buggy_Hunk,7
783,Fixed_Hunk,8
784,Buggy_Hunk,7
785,Fixed_Hunk,8
786,Buggy_Hunk,7
787,Fixed_Hunk,8
788,Buggy_Hunk,7
789,Fixed_Hunk,8
790,Buggy_Hunk,9
791,Fixed_Hunk,13
792,Buggy_Hunk,29
793,Fixed_Hunk,29
794,Buggy_Hunk,78
795,Fixed_Hunk,105
796,Buggy_Hunk,7
797,Fixed_Hunk,7
798,Buggy_Hunk,28
799,Fixed_Hunk,57
800,Buggy_Hunk,38
801,Fixed_Hunk,57
802,Buggy_Hunk,7
803,Fixed_Hunk,7
804,Buggy_Hunk,4
805,Fixed_Hunk,4
806,Buggy_Hunk,7
807,Fixed_Hunk,7
808,Buggy_Hunk,7
809,Fixed_Hunk,7
810,Buggy_Hunk,14
811,Fixed_Hunk,14
812,Buggy_Hunk,7
813,Fixed_Hunk,7
814,Buggy_Hunk,7
815,Fixed_Hunk,7
816,Buggy_Hunk,7
817,Fixed_Hunk,7
818,Buggy_Hunk,14
819,Fixed_Hunk,12
820,Buggy_Hunk,7
821,Fixed_Hunk,6
822,Buggy_Hunk,7
823,Fixed_Hunk,7
824,Buggy_Hunk,7
825,Fixed_Hunk,7
826,Buggy_Hunk,6
827,Fixed_Hunk,8
828,Buggy_Hunk,6
829,Fixed_Hunk,34
830,Buggy_Hunk,6
831,Fixed_Hunk,30
832,Buggy_Hunk,6
833,Fixed_Hunk,25
834,Buggy_Hunk,6
835,Fixed_Hunk,26
836,Buggy_Hunk,7
837,Fixed_Hunk,7
838,Buggy_Hunk,7
839,Fixed_Hunk,7
840,Buggy_Hunk,7
841,Fixed_Hunk,7
842,Buggy_Hunk,7
843,Fixed_Hunk,7
844,Buggy_Hunk,6
845,Fixed_Hunk,27
846,Buggy_Hunk,4
847,Fixed_Hunk,39
848,Buggy_Hunk,8
849,Fixed_Hunk,6
850,Buggy_Hunk,7
851,Fixed_Hunk,7
852,Buggy_Hunk,7
853,Fixed_Hunk,6
854,Buggy_Hunk,7
855,Fixed_Hunk,6
856,Buggy_Hunk,14
857,Fixed_Hunk,12
858,Buggy_Hunk,7
859,Fixed_Hunk,7
860,Buggy_Hunk,7
861,Fixed_Hunk,7
862,Buggy_Hunk,9
863,Fixed_Hunk,16
864,Buggy_Hunk,10
865,Fixed_Hunk,17
866,Buggy_Hunk,12
867,Fixed_Hunk,15
868,Buggy_Hunk,6
869,Fixed_Hunk,9
870,Buggy_Hunk,11
871,Fixed_Hunk,11
872,Buggy_Hunk,7
873,Fixed_Hunk,11
874,Buggy_Hunk,9
875,Fixed_Hunk,28
876,Buggy_Hunk,13
877,Fixed_Hunk,25
878,Buggy_Hunk,7
879,Fixed_Hunk,7
880,Buggy_Hunk,19
881,Fixed_Hunk,27
882,Buggy_Hunk,4
883,Fixed_Hunk,18
884,Buggy_Hunk,6
885,Fixed_Hunk,10
886,Buggy_Hunk,8
887,Fixed_Hunk,10
888,Buggy_Hunk,7
889,Fixed_Hunk,8
890,Buggy_Hunk,9
891,Fixed_Hunk,15
892,Buggy_Hunk,6
893,Fixed_Hunk,15
894,Buggy_Hunk,46
895,Fixed_Hunk,51
896,Buggy_Hunk,8
897,Fixed_Hunk,10
898,Buggy_Hunk,43
899,Fixed_Hunk,46
900,Buggy_Hunk,10
901,Fixed_Hunk,12
902,Buggy_Hunk,7
903,Fixed_Hunk,6
904,Buggy_Hunk,7
905,Fixed_Hunk,7
906,Buggy_Hunk,6
907,Fixed_Hunk,7
908,Buggy_Hunk,6
909,Fixed_Hunk,12
910,Buggy_Hunk,6
911,Fixed_Hunk,12
912,Buggy_Hunk,13
913,Fixed_Hunk,15
914,Buggy_Hunk,7
915,Fixed_Hunk,13
916,Buggy_Hunk,15
917,Fixed_Hunk,29
918,Buggy_Hunk,5
919,Fixed_Hunk,8
920,Buggy_Hunk,7
921,Fixed_Hunk,11
922,Buggy_Hunk,16
923,Fixed_Hunk,11
924,Buggy_Hunk,9
925,Fixed_Hunk,6
926,Buggy_Hunk,6
927,Fixed_Hunk,9
928,Buggy_Hunk,4
929,Fixed_Hunk,26
930,Buggy_Hunk,6
931,Fixed_Hunk,11
932,Buggy_Hunk,7
933,Fixed_Hunk,7
934,Buggy_Hunk,6
935,Fixed_Hunk,10
936,Buggy_Hunk,6
937,Fixed_Hunk,10
938,Buggy_Hunk,8
939,Fixed_Hunk,7
940,Buggy_Hunk,7
941,Fixed_Hunk,7
942,Buggy_Hunk,7
943,Fixed_Hunk,7
944,Buggy_Hunk,8
945,Fixed_Hunk,8
946,Buggy_Hunk,22
947,Fixed_Hunk,37
948,Buggy_Hunk,7
949,Fixed_Hunk,7
950,Buggy_Hunk,10
951,Fixed_Hunk,10
952,Buggy_Hunk,7
953,Fixed_Hunk,7
954,Buggy_Hunk,6
955,Fixed_Hunk,7
956,Buggy_Hunk,7
957,Fixed_Hunk,7
958,Buggy_Hunk,7
959,Fixed_Hunk,7
960,Buggy_Hunk,7
961,Fixed_Hunk,7
962,Buggy_Hunk,7
963,Fixed_Hunk,7
964,Buggy_Hunk,13
965,Fixed_Hunk,13
966,Buggy_Hunk,16
967,Fixed_Hunk,16
968,Buggy_Hunk,8
969,Fixed_Hunk,8
970,Buggy_Hunk,7
971,Fixed_Hunk,7
972,Buggy_Hunk,26
973,Fixed_Hunk,26
974,Buggy_Hunk,16
975,Fixed_Hunk,16
976,Buggy_Hunk,14
977,Fixed_Hunk,14
978,Buggy_Hunk,155
979,Fixed_Hunk,155
980,Buggy_Hunk,12
981,Fixed_Hunk,12
982,Buggy_Hunk,7
983,Fixed_Hunk,7
984,Buggy_Hunk,18
985,Fixed_Hunk,18
986,Buggy_Hunk,7
987,Fixed_Hunk,7
988,Buggy_Hunk,6
989,Fixed_Hunk,7
990,Buggy_Hunk,12
991,Fixed_Hunk,13
992,Buggy_Hunk,7
993,Fixed_Hunk,7
994,Buggy_Hunk,6
995,Fixed_Hunk,9
